lat,lon,timezone,timezone_offset,dt,sunrise,sunset,moonrise,moonset,moon_phase,pressure,humidity,dew_point,wind_speed,wind_deg,wind_gust,weather,clouds,pop,uvi,temp_day,temp_min,temp_max,temp_night,temp_eve,temp_morn,feels_like_day,feels_like_night,feels_like_eve,feels_like_morn,Day,rain
43.4933,-1.4751,Europe/Paris,7200,1649674800,1649654278,1649702130,1649680200,1649647080,0.32,1010,55,7.55,6.12,138,16.2,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",100,0.0,5.13,16.93,6.89,19.09,12.35,16.73,8.05,16.11,11.1,15.95,5.44,Day_1,
-33.9659,25.508,Africa/Johannesburg,7200,1649674800,1649654278,1649702130,1649680200,1649647080,0.32,1010,55,7.55,6.12,138,16.2,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",100,0.0,5.13,16.93,6.89,19.09,12.35,16.73,8.05,16.11,11.1,15.95,5.44,Day_1,
43.4711,-1.5527,Europe/Paris,7200,1649674800,1649654278,1649702130,1649680200,1649647080,0.32,1010,55,7.55,6.12,138,16.2,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",100,0.0,5.13,16.93,6.89,19.09,12.35,16.73,8.05,16.11,11.1,15.95,5.44,Day_1,
43.1572,6.3293,Europe/Paris,7200,1649674800,1649654278,1649702130,1649680200,1649647080,0.32,1010,55,7.55,6.12,138,16.2,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",100,0.0,5.13,16.93,6.89,19.09,12.35,16.73,8.05,16.11,11.1,15.95,5.44,Day_1,
43.213,2.3491,Europe/Paris,7200,1649674800,1649654278,1649702130,1649680200,1649647080,0.32,1010,55,7.55,6.12,138,16.2,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",100,0.0,5.13,16.93,6.89,19.09,12.35,16.73,8.05,16.11,11.1,15.95,5.44,Day_1,
43.214,5.5396,Europe/Paris,7200,1649674800,1649654278,1649702130,1649680200,1649647080,0.32,1010,55,7.55,6.12,138,16.2,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",100,0.0,5.13,16.93,6.89,19.09,12.35,16.73,8.05,16.11,11.1,15.95,5.44,Day_1,
48.2495,7.3443,Europe/Paris,7200,1649674800,1649654278,1649702130,1649680200,1649647080,0.32,1010,55,7.55,6.12,138,16.2,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",100,0.0,5.13,16.93,6.89,19.09,12.35,16.73,8.05,16.11,11.1,15.95,5.44,Day_1,
42.5251,3.0832,Europe/Paris,7200,1649674800,1649654278,1649702130,1649680200,1649647080,0.32,1010,55,7.55,6.12,138,16.2,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",100,0.0,5.13,16.93,6.89,19.09,12.35,16.73,8.05,16.11,11.1,15.95,5.44,Day_1,
48.0778,7.358,Europe/Paris,7200,1649674800,1649654278,1649702130,1649680200,1649647080,0.32,1010,55,7.55,6.12,138,16.2,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",100,0.0,5.13,16.93,6.89,19.09,12.35,16.73,8.05,16.11,11.1,15.95,5.44,Day_1,
47.3216,5.0415,Europe/Paris,7200,1649674800,1649654278,1649702130,1649680200,1649647080,0.32,1010,55,7.55,6.12,138,16.2,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",100,0.0,5.13,16.93,6.89,19.09,12.35,16.73,8.05,16.11,11.1,15.95,5.44,Day_1,
48.0448,7.308,Europe/Paris,7200,1649674800,1649654278,1649702130,1649680200,1649647080,0.32,1010,55,7.55,6.12,138,16.2,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",100,0.0,5.13,16.93,6.89,19.09,12.35,16.73,8.05,16.11,11.1,15.95,5.44,Day_1,
43.7497,6.3286,Europe/Paris,7200,1649674800,1649654278,1649702130,1649680200,1649647080,0.32,1010,55,7.55,6.12,138,16.2,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",100,0.0,5.13,16.93,6.89,19.09,12.35,16.73,8.05,16.11,11.1,15.95,5.44,Day_1,
45.1876,5.7358,Europe/Paris,7200,1649674800,1649654278,1649702130,1649680200,1649647080,0.32,1010,55,7.55,6.12,138,16.2,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",100,0.0,5.13,16.93,6.89,19.09,12.35,16.73,8.05,16.11,11.1,15.95,5.44,Day_1,
46.1591,-1.152,Europe/Paris,7200,1649674800,1649654278,1649702130,1649680200,1649647080,0.32,1010,55,7.55,6.12,138,16.2,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",100,0.0,5.13,16.93,6.89,19.09,12.35,16.73,8.05,16.11,11.1,15.95,5.44,Day_1,
49.4939,0.108,Europe/Paris,7200,1649674800,1649654278,1649702130,1649680200,1649647080,0.32,1010,55,7.55,6.12,138,16.2,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",100,0.0,5.13,16.93,6.89,19.09,12.35,16.73,8.05,16.11,11.1,15.95,5.44,Day_1,
50.6366,3.0635,Europe/Paris,7200,1649674800,1649654278,1649702130,1649680200,1649647080,0.32,1010,55,7.55,6.12,138,16.2,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",100,0.0,5.13,16.93,6.89,19.09,12.35,16.73,8.05,16.11,11.1,15.95,5.44,Day_1,
45.7578,4.832,Europe/Paris,7200,1649674800,1649654278,1649702130,1649680200,1649647080,0.32,1010,55,7.55,6.12,138,16.2,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",100,0.0,5.13,16.93,6.89,19.09,12.35,16.73,8.05,16.11,11.1,15.95,5.44,Day_1,
43.2962,5.37,Europe/Paris,7200,1649674800,1649654278,1649702130,1649680200,1649647080,0.32,1010,55,7.55,6.12,138,16.2,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",100,0.0,5.13,16.93,6.89,19.09,12.35,16.73,8.05,16.11,11.1,15.95,5.44,Day_1,
52.5094,4.9369,Europe/Amsterdam,7200,1649674800,1649654278,1649702130,1649680200,1649647080,0.32,1010,55,7.55,6.12,138,16.2,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",100,0.0,5.13,16.93,6.89,19.09,12.35,16.73,8.05,16.11,11.1,15.95,5.44,Day_1,
44.0176,1.355,Europe/Paris,7200,1649674800,1649654278,1649702130,1649680200,1649647080,0.32,1010,55,7.55,6.12,138,16.2,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",100,0.0,5.13,16.93,6.89,19.09,12.35,16.73,8.05,16.11,11.1,15.95,5.44,Day_1,
43.8374,4.3601,Europe/Paris,7200,1649674800,1649654278,1649702130,1649680200,1649647080,0.32,1010,55,7.55,6.12,138,16.2,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",100,0.0,5.13,16.93,6.89,19.09,12.35,16.73,8.05,16.11,11.1,15.95,5.44,Day_1,
48.8535,2.3484,Europe/Paris,7200,1649674800,1649654278,1649702130,1649680200,1649647080,0.32,1010,55,7.55,6.12,138,16.2,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",100,0.0,5.13,16.93,6.89,19.09,12.35,16.73,8.05,16.11,11.1,15.95,5.44,Day_1,
49.4412,1.0852,Europe/Paris,7200,1649674800,1649654278,1649702130,1649680200,1649647080,0.32,1010,55,7.55,6.12,138,16.2,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",100,0.0,5.13,16.93,6.89,19.09,12.35,16.73,8.05,16.11,11.1,15.95,5.44,Day_1,
48.6495,-2.026,Europe/Paris,7200,1649674800,1649654278,1649702130,1649680200,1649647080,0.32,1010,55,7.55,6.12,138,16.2,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",100,0.0,5.13,16.93,6.89,19.09,12.35,16.73,8.05,16.11,11.1,15.95,5.44,Day_1,
43.4523,4.4287,Europe/Paris,7200,1649674800,1649654278,1649702130,1649680200,1649647080,0.32,1010,55,7.55,6.12,138,16.2,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",100,0.0,5.13,16.93,6.89,19.09,12.35,16.73,8.05,16.11,11.1,15.95,5.44,Day_1,
48.5846,7.7507,Europe/Paris,7200,1649674800,1649654278,1649702130,1649680200,1649647080,0.32,1010,55,7.55,6.12,138,16.2,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",100,0.0,5.13,16.93,6.89,19.09,12.35,16.73,8.05,16.11,11.1,15.95,5.44,Day_1,
43.6007,1.4241,Europe/Paris,7200,1649674800,1649654278,1649702130,1649680200,1649647080,0.32,1010,55,7.55,6.12,138,16.2,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",100,0.0,5.13,16.93,6.89,19.09,12.35,16.73,8.05,16.11,11.1,15.95,5.44,Day_1,
44.0121,4.4197,Europe/Paris,7200,1649674800,1649654278,1649702130,1649680200,1649647080,0.32,1010,55,7.55,6.12,138,16.2,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",100,0.0,5.13,16.93,6.89,19.09,12.35,16.73,8.05,16.11,11.1,15.95,5.44,Day_1,
45.3314,1.0301,Europe/Paris,7200,1649761200,1649740570,1649788607,1649770800,1649735160,0.35,1009,53,7.34,5.31,120,16.1,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",98,0.38,5.3,17.43,10.57,17.92,12.7,14.65,10.94,16.61,12.01,14.29,9.66,Day_2,0.15
43.5298,5.4475,Europe/Paris,7200,1649761200,1649740570,1649788607,1649770800,1649735160,0.35,1009,53,7.34,5.31,120,16.1,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",98,0.38,5.3,17.43,10.57,17.92,12.7,14.65,10.94,16.61,12.01,14.29,9.66,Day_2,0.15
49.8987,2.2725,Europe/Paris,7200,1649761200,1649740570,1649788607,1649770800,1649735160,0.35,1009,53,7.34,5.31,120,16.1,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",98,0.38,5.3,17.43,10.57,17.92,12.7,14.65,10.94,16.61,12.01,14.29,9.66,Day_2,0.15
45.8992,6.1289,Europe/Paris,7200,1649761200,1649740570,1649788607,1649770800,1649735160,0.35,1009,53,7.34,5.31,120,16.1,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",98,0.38,5.3,17.43,10.57,17.92,12.7,14.65,10.94,16.61,12.01,14.29,9.66,Day_2,0.15
42.9455,1.4066,Europe/Paris,7200,1649761200,1649740570,1649788607,1649770800,1649735160,0.35,1009,53,7.34,5.31,120,16.1,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",98,0.38,5.3,17.43,10.57,17.92,12.7,14.65,10.94,16.61,12.01,14.29,9.66,Day_2,0.15
43.9492,4.8059,Europe/Paris,7200,1649761200,1649740570,1649788607,1649770800,1649735160,0.35,1009,53,7.34,5.31,120,16.1,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",98,0.38,5.3,17.43,10.57,17.92,12.7,14.65,10.94,16.61,12.01,14.29,9.66,Day_2,0.15
49.2765,-0.7025,Europe/Paris,7200,1649761200,1649740570,1649788607,1649770800,1649735160,0.35,1009,53,7.34,5.31,120,16.1,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",98,0.38,5.3,17.43,10.57,17.92,12.7,14.65,10.94,16.61,12.01,14.29,9.66,Day_2,0.15
43.4933,-1.4751,Europe/Paris,7200,1649761200,1649740570,1649788607,1649770800,1649735160,0.35,1009,53,7.34,5.31,120,16.1,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",98,0.38,5.3,17.43,10.57,17.92,12.7,14.65,10.94,16.61,12.01,14.29,9.66,Day_2,0.15
