Code_CIQUAL,Groupe_aliment,Sous-groupe_aliment,Nom_Produit_Francais,LCI_Name,Saisonnalite,Transport_par_avion_,Livraison,Materiau_emballage,Preparation,DQR_Note_qualite_la_donnee_,Score_unique_EF_,Score_unique_EF__Agriculture,Score_unique_EF__Transformation,Score_unique_EF__Emballage,Score_unique_EF__Transport,Score_unique_EF__Supermarche_distribution,Score_unique_EF__Consommation
9340,produits céréaliers,"pâtes, riz et céréales","Quinoa, cru","Quinoa, raw",mix de consommation FR,0,Ambiant (long),LPDE,Pas de préparation ,3.3,0.34524901,0.27795672,0.0,0.019987624,0.036051903,0.011252758,0.0
12749,lait et produits laitiers,fromages,Raclette (fromage),"Raclette cheese, from cow's milk",mix de consommation FR,0,Glacé,LPDE,Pas de préparation,2.24,0.5687670499999999,0.47067906,0.046274272,0.019721226,0.020614588,0.0088270864,0.0024293397
20089,"fruits, légumes, légumineuses et oléagineux",légumes,"Radis noir, cru","Radish, black, raw",mix de consommation FR,0,Ambiant (moyenne),Pas d'emballage,Pas de préparation,2.68,0.05550275,0.036500002,0.0,0.0,0.010935776,0.0075450438,0.00052192787
20045,"fruits, légumes, légumineuses et oléagineux",légumes,"Radis rouge, cru","Radish, raw",mix de consommation FR,0,Ambiant (moyenne),Pas d'emballage,Pas de préparation,2.55,0.05550275,0.036500002,0.0,0.0,0.010935776,0.0075450438,0.00052192787
26052,"viandes, œufs, poissons",poissons crus,"Raie, crue","Ray, raw",mix de consommation FR,0,Glacé,PS,Pas de préparation,3.64,1.8701383,1.7433901,0.0,0.01768459,0.097690587,0.0089437534,0.0024293397
26073,"viandes, œufs, poissons",poissons cuits,"Raie, cuite au court-bouillon","Ray, cooked in an aromatic stock",mix de consommation FR,0,Glacé,PP,Four,3.52,2.3127208,2.1287804,0.0,0.019501654,0.11928587,0.010920842,0.034231999
26031,"viandes, œufs, poissons",poissons cuits,"Raie, rôtie/cuite au four","Ray, roasted/baked",mix de consommation FR,0,Glacé,PP,Four,3.52,2.3127208,2.1287804,0.0,0.019501654,0.11928587,0.010920842,0.034231999
11016,aides culinaires et ingrédients divers,herbes,"Raifort, cru","Horseradish, fresh",mix de consommation FR,0,Ambiant (long),LPDE,Pas de préparation,3.75,0.0938960579999999,0.040232957,0.0,0.02476141,0.012761644,0.0119211289999999,0.0042189169
13044,"fruits, légumes, légumineuses et oléagineux",fruits,"Raisin blanc, à gros grain (type Italia ou Dattier), cru","Grape, white, raw",mix de consommation FR,0,Ambiant (moyenne),Pas d'emballage,Pas de préparation,2.46,0.10601393,0.072795187,0.0,0.0,0.01612692,0.012872902,0.0042189169
13045,"fruits, légumes, légumineuses et oléagineux",fruits,"Raisin noir, cru","Grape, red, raw",mix de consommation FR,0,Ambiant (moyenne),Pas d'emballage,Pas de préparation,2.46,0.10601393,0.072795187,0.0,0.0,0.01612692,0.012872902,0.0042189169
